Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Description__2,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
18564,1853879,"Verify that, from Wellfit Provisioning authenticate API is working 200 ok",29685,,,2026-07-22T17:36:04.302Z,Ana Paula,No,,,<p>Authenticate returns 200 OK and a valid bearer token for subsequent Provisioning API calls.</p><p><strong>Preconditions</strong><br />Stage Merchant Provisioning API is available. Valid API credentials from Postman env / internal test data.</p>,,,,<p>HTTP <strong>200 OK</strong>. Response body includes <code><strong>bearerToken</strong></code> (non-empty). Token can be used as <code>Authorization: Bearer {token}</code> on protected endpoints.</p>,Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntested,<p>First send <strong>POST</strong> <code>{{URL}}/authenticate</code> with <code>Content-Type: application/json</code> and body <code>username</code> / <code>password</code>.</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the JSON response contains <code><strong>bearerToken</strong></code> and save it for later requests.</p>,,Case (text),,
18565,1853880,"Verify that, from Wellfit Provisioning, create new submerchant API is working 200 ok",29686,,,2026-07-22T17:36:10.727Z,Ana Paula,No,,,"<p>Create sub-merchant returns 200 OK and a new <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Valid create-sub-merchant payload from Postman collection (LegalEntity, SubMerchant, SubMerchantAccounts).</p>",,,,<p>HTTP <strong>200 OK</strong>. Response includes <code><strong>wellfitSubMerchantId</strong></code> (non-empty GUID).</p>,Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,"<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and a valid create payload.</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the response body contains <code><strong>wellfitSubMerchantId</strong></code> and save it for later requests.</p>",,Case (text),,
18566,1853881,"Verify that, from Wellfit Provisioning collection, create update submerchant API is working 200 ok",29688,,,2026-07-22T17:37:03.656Z,Ana Paula,No,,,"<p>Update sub-merchant via create-sub-merchant returns 200 OK with a valid <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Existing sub-merchant identifiers from a prior create (e.g. <code>PspMerchantId</code>, <code>OrganizationId</code>). Update payload from Postman <strong>MP update</strong> request.</p>",,,,<p>HTTP <strong>200 OK</strong>. Response includes <code><strong>wellfitSubMerchantId</strong></code> (non-empty GUID).</p>,Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,"<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and the update payload (modified LegalEntity / SubMerchant fields for an existing sub-merchant).</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the response body contains <code><strong>wellfitSubMerchantId</strong></code>.</p>",,Case (text),,
18567,1853882,"Verify that, from Wellfit Provisioning collection, create read submerchant API is working 200 ok",29700,,,2026-07-22T17:54:54.541Z,Ana Paula,No,,,<p>Retrieve sub-merchant returns 200 OK and the sub-merchant data for a valid <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Valid <code><strong>wellfitSubMerchantId</strong></code> from a prior create (Postman env or saved from create response).</p>,,,,<p>HTTP <strong>200 OK</strong>. Response body includes sub-merchant details for the requested <code><strong>wellfitSubMerchantId</strong></code>.</p>,Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,"<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>GET</strong> <code>{{URL}}/provisioning/retrieve-sub-merchant?wellfitSubMerchantId={id}</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the response body matches the sub-merchant created earlier (e.g. merchant name, identifiers).</p>",,Case (text),,
18568,1853883,"Verify that, from DB Payments.Submerchant's table, created new submerchant is logged and stored correctly",29701,,,2026-07-22T17:55:39.956Z,Ana Paula,No,,,"<p>After create sub-merchant, a new row exists in <code><strong>[Payments].[SubMerchants]</strong></code> with data matching the API request and response.</p><p><strong>Preconditions</strong><br />Sub-merchant successfully created via <strong>POST</strong> <code>/provisioning/create-sub-merchant</code>. <code><strong>wellfitSubMerchantId</strong></code> saved from API response. DB access to Stage Payments database.</p>",,,,"<p>One row found for the new <code><strong>wellfitSubMerchantId</strong></code>. Key fields match the create payload (e.g. merchant name, <code>PspMerchantId</code>, <code>OrganizationId</code>, <code>BillingDescriptor</code>, <code>MerchantCategoryCode</code>).</p>",Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,"<p>First create a sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> and save <code><strong>wellfitSubMerchantId</strong></code> from the response.</p><p>Then query the database: <code>SELECT * FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (or equivalent key column per env schema).</p><p>Then confirm exactly one row is returned.</p><p>Finally compare DB values against the create request and API response (merchant name, PSP identifiers, billing descriptor, MCC, organization).</p>",,Case (text),,
18568,1853883,"Verify that, from DB Payments.Submerchant's table, created new submerchant is logged and stored correctly",29702,,,2026-07-22T18:06:02.504Z,Ana Paula,No,,,"<p>After create sub-merchant, a new row exists in <code><strong>[Payments].[SubMerchants]</strong></code> with data matching the API request and response.</p><p><strong>Preconditions</strong><br />Sub-merchant successfully created via <strong>POST</strong> <code>/provisioning/create-sub-merchant</code>. <code><strong>wellfitSubMerchantId</strong></code> saved from API response. DB access to Stage Payments database.</p>",,,,"<p>One row found for the new <code><strong>wellfitSubMerchantId</strong></code>. Key fields match the create payload (e.g. merchant name, <code>PspMerchantId</code>, <code>OrganizationId</code>, <code>BillingDescriptor</code>, <code>MerchantCategoryCode</code>).</p>",Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,"<p>First create a sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> and save <code><strong>wellfitSubMerchantId</strong></code> from the response.</p><p>Then query the database: <code>SELECT * FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (or equivalent key column per env schema).</p><p>Then confirm exactly one row is returned.</p><p>Finally compare DB values against the create request and API response (merchant name, PSP identifiers, billing descriptor, MCC, organization).</p>",,Case (text),,
304279,1853997,"Verify that, from Wellfit Provisioning, read merchant category codes API returns 200 OK",29704,,,2026-07-22T18:28:01.973Z,Ana Paula,No,,,<p>GET merchant category codes returns 200 OK with a list of MCC codes and descriptions.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Stage Merchant Provisioning API available.</p>,,,,<p>HTTP <strong>200 OK</strong>. Response body includes <code><strong>items</strong></code> array. Each item has <code><strong>code</strong></code> and <code><strong>description</strong></code> (non-empty).</p>,Wellfit Provisioning,,,,Normal,Active,Passed,,,UntestedUntestedUntestedUntested,<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>GET</strong> <code>{{URL}}/merchant-category-codes</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the JSON response contains <code><strong>items</strong></code> and each entry includes <code><strong>code</strong></code> and <code><strong>description</strong></code>.</p>,,Case (text),,
304280,1853998,"Verify that, from Wellfit Provisioning, create merchant category code API returns 200 OK",,,,,,,,,<p>POST merchant category code creates a new MCC and returns the created code and description.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Stage Merchant Provisioning API available. Use a unique <code><strong>code</strong></code> if <strong>1504</strong> already exists in the environment.</p>,,,,"<p>HTTP <strong>200 OK</strong>. Response body:</p><p><code>{</code></p><p><code>  ""code"": ""1504"",</code></p><p><code>  ""description"": ""Test Code""</code></p><p><code>}</code></p>",Wellfit Provisioning,,,,Normal,Active,Untested,,,,"<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>POST</strong> <code>{{URL}}/merchant-category-codes</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and body:</p><p><code>{</code></p><p><code>  ""code"": ""1504"",</code></p><p><code>  ""description"": ""Test Code""</code></p><p><code>}</code></p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally verify the response body returns <code><strong>code</strong></code> <strong>1504</strong> and <code><strong>description</strong></code> <strong>Test Code</strong>.</p>",,Case (text),,
304281,1853999,"Verify that, from Wellfit Provisioning, delete merchant category code API returns 200 OK",,,,,,,,,<p>DELETE merchant category code removes the MCC by code and returns 200 OK.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. MCC <code><strong>1504</strong></code> exists (created via POST or from prior test data).</p>,,,,<p>HTTP <strong>200 OK</strong>. Response body is empty or has no error payload.</p>,Wellfit Provisioning,,,,Normal,Active,Untested,,,,<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then send <strong>DELETE</strong> <code>{{URL}}/merchant-category-codes?code=1504</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p><p>Then confirm the response status is <strong>200 OK</strong>.</p><p>Finally send <strong>GET</strong> <code>{{URL}}/merchant-category-codes</code> and verify <code><strong>1504</strong></code> is no longer in the <code><strong>items</strong></code> list.</p>,,Case (text),,
304282,1854000,"Verify that, when a new sub-merchant is created, its merchant category code is stored and matches MerchantCategoryCodes",,,,,,,,,"<p>New sub-merchant is saved with the <code><strong>MerchantCategoryCode</strong></code> sent in the create request, aligned with <code><strong>[MerchantProvisioning].[MerchantCategoryCodes]</strong></code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token. Valid MCC from catalog (e.g. <code><strong>8021</strong></code> — Dentist &amp; Orthodontists). DB access to Stage.</p>",,,,<p>Create returns <strong>200 OK</strong> with <code><strong>wellfitSubMerchantId</strong></code>. Sub-merchant row has <code><strong>MerchantCategoryCode</strong></code><strong> = </strong><code><strong>8021</strong></code>. Code exists in <code><strong>[MerchantProvisioning].[MerchantCategoryCodes]</strong></code> with matching <code><strong>Description</strong></code>.</p>,Wellfit Provisioning,,,,Normal,Active,Untested,,,,"<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p><p>Then confirm MCC <code><strong>8021</strong></code> exists: <code>SELECT Code, Description FROM [MerchantProvisioning].[MerchantCategoryCodes] WHERE Code = '8021'</code>.</p><p>Then create sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code><strong>MerchantCategoryCode</strong></code><strong>: </strong><code><strong>8021</strong></code> and <code><strong>MerchantCategoryDetail</strong></code> in the SubMerchant payload; save <code><strong>wellfitSubMerchantId</strong></code>.</p><p>Then query: <code>SELECT MerchantCategoryCode FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (adjust column/table name per env if needed).</p><p>Then confirm <code><strong>MerchantCategoryCode</strong></code> is <code><strong>8021</strong></code>.</p><p>Finally call <strong>GET</strong> <code>{{URL}}/provisioning/retrieve-sub-merchant?wellfitSubMerchantId={id}</code> and confirm the response also shows MCC <code><strong>8021</strong></code>.</p>",,Case (text),,
