Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Description__2,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
168002,1853918,"Verify that, Add Token API works successfully without cardZipCode",,,,,,,,,<p>Precondition: </p><p>Valid card data is available.</p>,,,,<p>API responds with 200 OK (or equivalent success).</p><p>A token is created and returned.</p><p><code>cardZipCode</code> is treated as optional.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,"<p>Send a <code>POST /add-token</code> request with valid card details, omitting the <code>cardZipCode</code> field.</p><p>Observe the API response.</p>",,Case (text),,
168003,1853919,"Validate that, a token is created successfully when cardZipCode is provided",,,,,,,,,,,,,<p>Token is created and returned successfully.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,<p>Send a <code>POST /add-token</code> request with valid card details including <code>cardZipCode</code>.</p><p>Observe the response.</p>,,Case (text),,
168004,1853920,"Validate that, the API accepts a request when cardZipCode is sent as an empty string",,,,,,,,,,,,,<p>API either processes it as if <code>cardZipCode</code> was omitted (preferred) or returns a clear validation error.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,"<p>Send a <code>POST /add-token</code> request with <code>cardZipCode</code> = <code>""""</code></p><p>Observe the response</p>",,Case (text),,
168005,1853921,"Validate that, the API rejects invalid cardZipCode values",,,,,,,,,,,,,<p>API returns a validation error and no token is created.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,"<p>Send a <code>POST /add-token</code> request with <code>cardZipCode</code> = <code>""ABCDE""</code> or <code>""12""</code></p><p>Observe the response</p>",,Case (text),,
168006,1853922,"Validate that, the API no longer fails when cardZipCode is omitted",,,,,,,,,,,,,,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,,,Case (text),,
168007,1853923,"Validate that, the Token Vault generates and returns a Wellfit token for a valid CP charge API request without ZipCodeField",,,,,,,,,,,,,<p>Token Vault generates and returns a Wellfit token successfully.</p><p><code>cardZipCode</code> is not required.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,<p>Send a CP charge API request for a card-present transaction with valid card details and omit <code>cardZipCode</code>.</p><p>Observe the API response</p>,,Case (text),,
168008,1853924,"Validate that, Wellfit Token retrieved in CP charge API response is stored in Token Vauld dbo Tokens table",,,,,,,,,,,,,,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,,,Case (text),,
168009,1853925,"Validate that, a Wellfit token is generated successfully for a valid CNP request with ZipCodeField",,,,,,,,,,,,,<p>Token Vault generates and returns a Wellfit token successfully.</p><p>Behavior matches pre-fix baseline.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,<p>Send a request for a CNP transaction with valid card details including <code>cardZipCode</code></p><p>Observe the API response</p>,,Case (text),,
168010,1853926,"Validate that, Wellfit Token retrieved in CNP API response is stored in Token Vauld dbo Tokens table",,,,,,,,,,,,,,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,,,Case (text),,
168011,1853927,"Validate that, a Wellfit token is generated successfully for a valid CNP request without ZipCodeField",,,,,,,,,,,,,<p>Token Vault generates and returns a Wellfit token successfully.</p><p>Behavior matches pre-fix baseline.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,<p>Send a <code>CNP</code> request for omitting <code>cardZipCode</code></p><p>Observe the API response</p>,,Case (text),,
213300,1853931,"Validate that, a transaction is generated successfully for a valid CNP request with Wellfit Token",,,,,,,,,,,,,<p>CNP returns a Wellfit token successfully.</p><p>Behavior matches pre-fix baseline.</p>,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,<p>Send a <code>CNP</code> request with GUID token</p><p>Observe the API response</p>,,Case (text),,
168012,1853928,"Validate that, the Token Vault returns a Processor token and generates a DevOps alert when Wellfit token generation fails for a CP request",,,,,,,,,<p>Precondition: Force or simulate a failure in Wellfit token generation</p>,,,,,Bug/HotFix* PAY-2603   Card Token Vault Fails to Return Wellfit Token,,,PAY-2603,Normal,Active,Untested,,,,,,Case (text),,
