"Case ID","Case","Configurations","Created at","Created by","Description","Description","Estimate","Expected","Folder","Forecast","Issues","Priority","State","Status (latest)","Status date","Steps (Expected)","Steps (Step)","Tags","Template","Updated at","Updated by"
"13579","Validate that, CNP can process successful transactions with VISA Card.","","2024-12-18T23:57:49.837Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-1<br /><strong>AC Description:</strong> End-to-end CNP accepts a <strong>VISA</strong> payment when <code>process-card</code> is called with a real <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code>, the correct <code><strong>subMerchantId</strong></code> for that environment, and <code><strong>network</strong></code> set to <code><strong>VI</strong></code>, after a successful authenticate.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> points to the environment under test.</li><li><code><strong>POST {{URL}}/authenticate</strong></code> works and <strong>Payment-Bearer-Token</strong> is available.</li><li><code><strong>PaymentTokens</strong></code> has a <strong>VISA</strong> test row; use <code><strong>ProcessorToken</strong></code> as the body <code><strong>token</strong></code>.</li><li><code><strong>subMerchantId</strong></code> matches the business (e.g. <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>, or another id from merchant data).</li><li>Body includes required sale fields (<code>amount</code>, <code>expirationDate</code>, <code>orderId</code>, <code>payFacFee</code>, optional fields as needed).</li></ul>","","","<ul><li>HTTP <strong>200 OK</strong>.</li><li>Response JSON includes a non-empty <code><strong>transactionId</strong></code>.</li><li><code><strong>approvalNumber</strong></code> is present (value follows your environment — e.g. sandbox/prelive patterns such as <strong>MCPREP</strong> where applicable).</li><li><code><strong>billingDescriptor</strong></code> is present and matches the expected descriptor for that sub-merchant (e.g. statement text like <code><strong>WF *RedHill-Dental</strong></code> when testing that office).</li><li><code><strong>token</strong></code> and <code><strong>expirationDate</strong></code> are returned and consistent with the test card / token used.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T17:51:09.406Z","","<p>Run <code><strong>POST {{URL}}/authenticate</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Paste <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> (VISA) into <code><strong>token</strong></code>; set <code><strong>network</strong></code> to <code><strong>VI</strong></code>, set <code><strong>subMerchantId</strong></code> and required fields.</p>
<p>Send the request and confirm status <strong>200</strong> and the <strong>Expected</strong> JSON fields.</p>","","Case (text)","2026-05-18T18:38:53.879Z","Christopher Valenzuela"
"13580","Validate that, CNP can process successful transactions with AMEX Card.","","2024-12-18T23:57:55.205Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-2<br /><strong>AC Description:</strong> End-to-end CNP accepts an <strong>American Express</strong> payment when <code>process-card</code> is called with a valid <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> for an <strong>AMEX</strong> test card, the correct <code><strong>subMerchantId</strong></code>, and <code><strong>network</strong></code> set to the <strong>American Express</strong> value your API expects (e.g. <code><strong>AX</strong></code> — confirm in internal docs), after a successful authenticate.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> points to the environment under test.</li><li><code><strong>POST {{URL}}/authenticate</strong></code> works and <strong>Payment-Bearer-Token</strong> is available.</li><li><code><strong>PaymentTokens</strong></code> has an <strong>AMEX</strong> test row; use <code><strong>ProcessorToken</strong></code> as the body <code><strong>token</strong></code>.</li><li><code><strong>subMerchantId</strong></code> matches the business under test (e.g. <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>, or another id from merchant data).</li><li>Body includes required sale fields (<code>amount</code>, <code>expirationDate</code>, <code>orderId</code>, <code>payFacFee</code>, optional fields as needed).</li></ul>","","","<ul><li>HTTP <strong>200 OK</strong>.</li><li>Response JSON includes a non-empty <code><strong>transactionId</strong></code>.</li><li><code><strong>approvalNumber</strong></code> is present (format per environment / processor).</li><li><code><strong>billingDescriptor</strong></code> is present and matches the expected statement text for that <strong>sub-merchant</strong>.</li><li><code><strong>token</strong></code> and <code><strong>expirationDate</strong></code> are returned and align with the <strong>AMEX</strong> test token used.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T17:52:32.131Z","","<p>Run <code><strong>POST {{URL}}/authenticate</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Paste <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> (<strong>AMEX</strong> test card) into <code><strong>token</strong></code>; set <code><strong>network</strong></code> to the <strong>AMEX</strong> code from your spec (<code><strong>AX</strong></code> if that is what Wellfit uses).</p>
<p>Set <code><strong>subMerchantId</strong></code> and all required sale fields; send the request.</p>
<p>Confirm <strong>200</strong> and the <strong>Expected</strong> fields in the response body.</p>","","Case (text)","2026-05-18T18:38:46.716Z","Christopher Valenzuela"
"13581","Validate that,  CNP can process successful transactions with Discover card.","","2024-12-18T23:58:02.044Z","Radhika Kandoori","<p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> points to the environment under test.</li><li><code><strong>POST {{URL}}/authenticate</strong></code> works and <strong>Payment-Bearer-Token</strong> is available.</li><li><code><strong>PaymentTokens</strong></code> has a <strong>Discover</strong> test row; use <code><strong>ProcessorToken</strong></code> as the body <code><strong>token</strong></code>.</li><li><code><strong>subMerchantId</strong></code> matches the business under test (e.g. <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>, or another id from merchant data).</li><li>Body includes required sale fields (<code>amount</code>, <code>expirationDate</code>, <code>orderId</code>, <code>payFacFee</code>, optional fields as needed).</li></ul>","","","<ul><li>HTTP <strong>200 OK</strong>.</li><li>Response JSON includes a non-empty <code><strong>transactionId</strong></code>.</li><li><code><strong>approvalNumber</strong></code> is present (format per environment / processor).</li><li><code><strong>billingDescriptor</strong></code> is present and matches the expected statement text for that <strong>sub-merchant</strong>.</li><li><code><strong>token</strong></code> and <code><strong>expirationDate</strong></code> are returned and align with the <strong>Discover</strong> test token used.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T17:53:47.078Z","","<p>Run <code><strong>POST {{URL}}/authenticate</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Paste <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> (<strong>Discover</strong> test card) into <code><strong>token</strong></code>; set <code><strong>network</strong></code> to the <strong>Discover</strong> code from your spec (<code><strong>DI</strong></code> if that is what Wellfit uses).</p>
<p>Set <code><strong>subMerchantId</strong></code> and all required sale fields; send the request.</p>
<p>Confirm <strong>200</strong> and the <strong>Expected</strong> fields in the response body.</p>","","Case (text)","2026-05-18T18:55:01.255Z","Christopher Valenzuela"
"13582","Validate that, CNP can process successful transactions with MasterCard.","","2024-12-18T23:58:11.248Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-4<br /><strong>AC Description:</strong> End-to-end CNP accepts a <strong>MasterCard</strong> payment when <code>process-card</code> is called with a valid <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> for a <strong>MasterCard</strong> test card, the correct <code><strong>subMerchantId</strong></code>, and <code><strong>network</strong></code> set to the <strong>MasterCard</strong> value your API expects (e.g. <code><strong>MC</strong></code> — confirm in internal docs), after a successful authenticate.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> points to the environment under test.</li><li><code><strong>POST {{URL}}/authenticate</strong></code> works and <strong>Payment-Bearer-Token</strong> is available.</li><li><code><strong>PaymentTokens</strong></code> has a <strong>MasterCard</strong> test row; use <code><strong>ProcessorToken</strong></code> as the body <code><strong>token</strong></code>.</li><li><code><strong>subMerchantId</strong></code> matches the business under test (e.g. <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>, or another id from merchant data).</li><li>Body includes required sale fields (<code>amount</code>, <code>expirationDate</code>, <code>orderId</code>, <code>payFacFee</code>, optional fields as needed).</li></ul>","","","<ul><li>HTTP <strong>200 OK</strong>.</li><li>Response JSON includes a non-empty <code><strong>transactionId</strong></code>.</li><li><code><strong>approvalNumber</strong></code> is present (format per environment / processor).</li><li><code><strong>billingDescriptor</strong></code> is present and matches the expected statement text for that <strong>sub-merchant</strong>.</li><li><code><strong>token</strong></code> and <code><strong>expirationDate</strong></code> are returned and align with the <strong>MasterCard</strong> test token used.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T17:54:41.718Z","","<p>Run <code><strong>POST {{URL}}/authenticate</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Paste <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> (<strong>MasterCard</strong> test card) into <code><strong>token</strong></code>; set <code><strong>network</strong></code> to the <strong>MasterCard</strong> code from your spec (<code><strong>MC</strong></code> if that is what Wellfit uses).</p>
<p>Set <code><strong>subMerchantId</strong></code> and all required sale fields; send the request.</p>
<p>Confirm <strong>200</strong> and the <strong>Expected</strong> fields in the response body.</p>","","Case (text)","2026-05-18T18:57:42.865Z","Christopher Valenzuela"
"13583","Validate that, CNP receives an error message when the CVV does not match.","","2024-12-19T00:01:11.072Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-5<br /><strong>AC Description:</strong> After authenticate, <code><strong>credit-card/process-card</strong></code> with a valid <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> and a <strong>wrong </strong><code><strong>cvv</strong></code> must <strong>not</strong> return a successful sale; the response must include an <strong>error</strong> whose message or code clearly ties to <strong>CVV / security code</strong> validation (per your API’s error model).</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> points to the environment under test.</li><li><code><strong>POST {{URL}}/authenticate</strong></code> works and <strong>Payment-Bearer-Token</strong> is available.</li><li><code><strong>PaymentTokens</strong></code><strong>:</strong> pick a test row and copy <code><strong>ProcessorToken</strong></code> into the body <code><strong>token</strong></code> (same as a normal sale).</li><li><code><strong>subMerchantId</strong></code> matches the business under test (e.g. <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>, or another id from merchant data).</li><li><code><strong>network</strong></code> and the rest of the payload match a normal <code><strong>process-card</strong></code> request; the <strong>only intentional defect</strong> is <code><strong>cvv</strong></code> (value that does <strong>not</strong> match the valid CVV for that test card, per your test-data notes).</li></ul>","","","<ul><li>Response indicates <strong>failure</strong> (HTTP status and/or body flags <strong>per internal documentation</strong> — not the same happy path as a <strong>200</strong> approval with <code>transactionId</code> / <code>approvalNumber</code> as in successful CNP).</li><li>Error payload is <strong>specific enough</strong> to attribute the failure to <strong>CVV / security code</strong>.</li><li>No approved CNP outcome for this request (no successful approval pattern you use for pass cases).</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T17:57:25.005Z","","<p>Run <code><strong>POST {{URL}}/authenticate</strong></code>, then build <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Set <code><strong>token</strong></code> from <code><strong>PaymentTokens.ProcessorToken</strong></code>, <code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and required fields as in a passing test.</p>
<p>Add or set <code><strong>cvv</strong></code> to an <strong>incorrect</strong> value for that test card.</p>
<p>Send the request and verify <strong>Expected</strong> (status, error fields, and message/code for CVV).</p>","","Case (text)","2026-05-18T19:00:27.501Z","Christopher Valenzuela"
"13584","Validate that,  CNP receives an error message when the Zipcode does not match.","","2024-12-19T00:01:19.637Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-6<br /><strong>AC Description:</strong> For a test <code><strong>ProcessorToken</strong></code> that <strong>enforces billing ZIP / AVS</strong>, <code><strong>credit-card/process-card</strong></code> with a <code><strong>zipCode</strong></code> that does not match what the processor expects must return an error. Other sandbox tokens may <strong>ignore</strong> ZIP or accept any value — this case applies only to tokens <strong>documented</strong> to validate ZIP.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> and <strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code> are ready.</li><li><code><strong>PaymentTokens</strong></code><strong>:</strong> use a <code><strong>ProcessorToken</strong></code> row that your <strong>test-data guide</strong> lists as <strong>ZIP-sensitive</strong> (some test cards accept any CVV/ZIP or skip checks; pick one that <strong>does not</strong>).</li><li><code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and required sale fields match a normal <code><strong>process-card</strong></code> call.</li><li>Intentional defect: set <code><strong>zipCode</strong></code> to a value that <strong>fails</strong> AVS / billing ZIP for that token.</li></ul>","","","<ul><li>HTTP <strong>409 Conflict</strong> <i>(or the status your doc defines for this failure — align with current QA behavior)</i>.</li><li>Response body is a <strong>JSON array</strong> of errors including:<ul><li><code><strong>code</strong></code><strong>:</strong> <code>ProcessorResponse.Failure.ZipCode</code></li><li><code><strong>message</strong></code><strong>:</strong> <code>Billing Zip Code Mismatch</code></li><li><code><strong>severity</strong></code><strong>:</strong> <code>Error</code></li><li><code><strong>type</strong></code><strong>:</strong> <code>Business</code></li></ul></li><li>No successful approval payload (no normal <code><strong>transactionId</strong></code><strong> / </strong><code><strong>approvalNumber</strong></code> success pattern).</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T18:03:57.728Z","","<p>Authenticate and call <code><strong>POSt {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Use a <strong>ZIP-validating</strong> <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code>; complete <code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and required fields.</p>
<p>Set <code><strong>zipCode</strong></code> to a <strong>mismatched</strong> value for that card; send the request.</p>
<p>Verify <strong>Expected</strong> status and error object(s); if the call <strong>succeeds</strong>, confirm the token is <strong>not</strong> ZIP-sensitive and swap to a token from the list that <strong>does</strong> validate ZIP.</p>","","Case (text)","2026-05-18T19:03:51.058Z","Christopher Valenzuela"
"13585","Validate that,  CNP receives an error message when card is expired","","2024-12-19T00:01:29.312Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-7<br /><strong>AC Description:</strong> <code><strong>credit-card/process-card</strong></code> must reject a sale when <code><strong>expirationDate</strong></code> is <code><strong>MMYY</strong></code> but represents a <strong>card that is already expired</strong> (month/year <strong>before</strong> the current date). Use a value that is clearly in the past for the run date (e.g. <code><strong>0325</strong></code> if testing after March 2025). Do <strong>not</strong> use non-<code><strong>MMYY</strong></code> strings (e.g. a year-only value); those can trigger format validation instead of a clean “expired” check.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> and <strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code> are ready.</li><li><code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> and <code><strong>subMerchantId</strong></code> are set for a normal CNP sale (same as a passing <code><strong>process-card</strong></code>).</li><li><code><strong>network</strong></code> and required fields are valid; the <strong>only intentional defect</strong> is <code><strong>expirationDate</strong></code>: <code><strong>MMYY</strong></code> with <strong>expiry in the past</strong> relative to <strong>today</strong>.</li><li>Know today’s date so you pick a past <code><strong>MMYY</strong></code> (format like <code><strong>0327</strong></code> is <strong>not</strong> expired while the current calendar is still before April 2027).</li></ul>","","","<ul><li>HTTP <strong>409 Conflict</strong>.</li><li>Response body is a JSON <strong>array</strong> of errors including:<ul><li><code><strong>code</strong></code><strong>:</strong> <code>ExpirationDate.Invalid</code></li><li><code><strong>message</strong></code><strong>:</strong> <code>Expiration date must be a future date in MMYY format.</code></li><li><code><strong>severity</strong></code><strong>:</strong> <code>Error</code></li><li><code><strong>type</strong></code><strong>:</strong> <code>Business</code></li></ul></li><li>No successful approval (<code>transactionId</code> / <code>approvalNumber</code> pattern from happy-path responses).</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T18:07:55.670Z","","<p>Authenticate and send <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer <strong>Payment-Bearer-Token</strong>.</p>
<p>Use a valid <code><strong>token</strong></code> (<code><strong>ProcessorToken</strong></code>), <code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and the usual required fields.</p>
<p>Set <code><strong>expirationDate</strong></code> to a <strong>past</strong> <code><strong>MMYY</strong></code>; send the request.</p>
<p>Confirm <strong>409</strong> and the <strong>Expected</strong> error <code><strong>code</strong></code> / <code><strong>message</strong></code>.</p>","","Case (text)","2026-05-18T19:32:28.596Z","Christopher Valenzuela"
"13586","Validate that, the correct Transaction Amount is stored in the [Payments].[Payments] DB table.","","2024-12-19T00:04:06.290Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-8<br /><strong>AC Description:</strong> After a <strong>successful</strong> CNP <code><strong>credit-card/process-card</strong></code> (any card brand), <code><strong>[Payments].[Payments]</strong></code> must contain a row keyed by the API <code><strong>transactionId</strong></code>, and the <code><strong>Amount</strong></code> column must equal the <code><strong>amount</strong></code> sent in the request; <code><strong>PayFacFee</strong></code> should match <code><strong>payFacFee</strong></code> when that field was sent.</p><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> and <strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code> are ready.</li><li><code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code>, <code><strong>subMerchantId</strong></code>, and <code><strong>network</strong></code> are set for a <strong>passing</strong> sale (any supported brand).</li><li><code><strong>amount</strong></code> and <code><strong>payFacFee</strong></code> in the request are <strong>known values</strong> you will assert in the DB (e.g. <code><strong>123.00</strong></code> and <code><strong>0.00</strong></code>).</li><li>Read access to the <strong>Platform</strong> database (or equivalent for the environment under test) to run SQL against <code><strong>Payments.Payments</strong></code>.</li></ul>","","","<ul><li><code><strong>POST {{URL}}/credit-card/process-card</strong></code> returns <strong>200 OK</strong> with a <code><strong>transactionId</strong></code> in the response (same id used for downstream checks).</li><li>Query:<br /><code>SELECT * FROM [Payments].[Payments] WHERE transactionId = '&lt;transactionId from response&gt;'</code><br />returns <strong>exactly one</strong> row (or follow team rules if multiples are possible).</li><li><code><strong>Amount</strong></code> on that row <strong>matches</strong> the request <code><strong>amount</strong></code> (e.g. <code><strong>123.00</strong></code> stored for <code><strong>123</strong></code> / <code><strong>123.00</strong></code> sent, per your precision rules).</li><li><code><strong>PayFacFee</strong></code> on that row <strong>matches</strong> the request <code><strong>payFacFee</strong></code> when applicable (e.g. <code><strong>0.00</strong></code>).</li><li><code><strong>Id</strong></code> / <code><strong>TimeStamp</strong></code> are present (sanity check that the row was written for this transaction).</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T18:15:33.741Z","","<p>Authenticate and call <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with a valid <code><strong>token</strong></code>, <code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and explicit <code><strong>amount</strong></code> and <code><strong>payFacFee</strong></code>.</p>
<p>Copy <code><strong>transactionId</strong></code> from the <strong>success</strong> response.</p>
<p>Run <code><strong>SELECT * FROM [Payments].[Payments] WHERE transactionId = '&lt;that id&gt;'</strong></code> on the correct <strong>environment</strong> database.</p>
<p>Confirm <code><strong>Amount</strong></code> and <code><strong>PayFacFee</strong></code> (and any other fields your team requires) match the request and <strong>Expected</strong>.</p>","","Case (text)","2026-05-18T19:20:44.185Z","Christopher Valenzuela"
"13588","Validate that, the correct PaymenTypeMethod is stored for the new payment transaction in the [Payments].[Payments] DB table","","2024-12-19T00:04:49.991Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-9<br /><strong>AC Description:</strong> After a <strong>successful</strong> CNP sale using a <code><strong>ProcessorToken</strong></code> (<code><strong>credit-card/process-card</strong></code> with <code>token</code> from <code><strong>PaymentTokens</strong></code>), the row in <code><strong>[Payments].[Payments]</strong></code> for that <code><strong>transactionId</strong></code> must have <code><strong>PaymentTypeMethod</strong></code><strong> = </strong><code><strong>2</strong></code> (<strong>CNP token</strong>), not another payment type.</p><p><strong>Reference — </strong><code><strong>PaymentTypeMethod</strong></code><strong> on </strong><code><strong>[Payments].[Payments]</strong></code><strong>:</strong></p><ul><li><code><strong>0</strong></code> — Default (eCheck)</li><li><code><strong>1</strong></code> — CNP Pay Page–encrypted card entry</li><li><code><strong>2</strong></code> — CNP token</li><li><code><strong>3</strong></code> — Apple Pay</li><li><code><strong>4</strong></code> — Google Pay</li><li><code><strong>5</strong></code> — CP device</li></ul><p><strong>Preconditions</strong></p><ul><li><code><strong>{{URL}}</strong></code> and <strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code> are ready.</li><li><code><strong>credit-card/process-card</strong></code> uses a <code><strong>token</strong></code> copied from <code><strong>PaymentTokens.ProcessorToken</strong></code> (standard <strong>CNP token</strong> flow — not Pay Page, wallet, or card-present).</li><li><code><strong>subMerchantId</strong></code>, <code><strong>network</strong></code>, and required fields are valid so the transaction <strong>approves</strong> (<strong>200 OK</strong>).</li><li>Read access to the <strong>Platform</strong> DB for the environment under test to query <code><strong>Payments.Payments</strong></code>.</li></ul>","","","<ul><li>API response includes <code><strong>transactionId</strong></code> for the new payment.</li><li><code>SELECT PaymentTypeMethod, * FROM [Payments].[Payments] WHERE transactionId = '&lt;transactionId from response&gt;'</code> returns a row where <code><strong>PaymentTypeMethod</strong></code><strong> = </strong><code><strong>2</strong></code> (CNP token).</li><li>Other columns (e.g. <code><strong>Amount</strong></code>, <code><strong>PayFacFee</strong></code>) align with the request as in your related checks.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T18:16:25.343Z","","<p>First run <code><strong>POST {{URL}}/authenticate</strong></code>, then send a <strong>successful</strong> <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with <code><strong>ProcessorToken</strong></code> from <code><strong>PaymentTokens</strong></code> as <code><strong>token</strong></code> (CNP token flow only).</p>
<p>Then copy <code><strong>transactionId</strong></code> from the API response.</p>
<p>Next, on the correct environment database, run<br /><code>SELECT PaymentTypeMethod, * FROM [Payments].[Payments] WHERE transactionId = '&lt;that id&gt;'</code>.</p>
<p>Finally confirm <code><strong>PaymentTypeMethod</strong></code> is <code><strong>2</strong></code> (CNP token). If it is <code><strong>1</strong></code>, <code><strong>3</strong></code>, <code><strong>4</strong></code>, or <code><strong>5</strong></code>, the stored payment type is wrong for this flow.</p>","","Case (text)","2026-05-18T19:32:18.452Z","Christopher Valenzuela"
"66733","Validate that, a partial refund is able to get successfully processed for CNP transaction","","2025-05-08T16:56:21.596Z","Radhika Kandoori","<p><strong>AC Linked:</strong> AC-10<br /><strong>AC Description:</strong> After an <strong>approved</strong> CNP <code><strong>credit-card/process-card</strong></code> (with a known <code><strong>transactionId</strong></code> on the original sale), <code><strong>POST .../refund-transaction</strong></code> with a <strong>refund </strong><code><strong>amount</strong></code><strong> less than the original charge</strong> returns <strong>200 OK</strong>, returns a <strong>new refund </strong><code><strong>transactionId</strong></code>, and sets <code><strong>wasVoided</strong></code> to <code><strong>false</strong></code>. A <strong>full</strong> refund of the original amount is expected to return <code><strong>wasVoided</strong></code><strong>: </strong><code><strong>true</strong></code> (out of scope for this case; partial only).</p><p><strong>Preconditions</strong></p><ul><li><strong>Payment-Bearer-Token</strong> is available (<code>**POST {{URL}}/authenticate**</code>).</li><li>A <strong>successful</strong> CNP payment already exists (<code><strong>200</strong></code> from <code><strong>credit-card/process-card</strong></code>) and you have the original <code><strong>transactionId</strong></code> (and the <code><strong>orderId</strong></code> used for that sale, if required by your refund payload).</li><li><strong>Refund </strong><code><strong>amount</strong></code> is <strong>greater than zero</strong> and <strong>not greater than</strong> the <strong>original transaction amount</strong> (this case uses an amount <strong>strictly less than</strong> the original to exercise <strong>partial</strong> refund).</li></ul>","","","<ul><li><code><strong>POST {{URL}}/refund-transaction</strong></code> returns <strong>200 OK</strong>.</li><li>Response JSON includes a new <code><strong>transactionId</strong></code> for the refund.</li><li><code><strong>wasVoided</strong></code> is <code><strong>false</strong></code> for this <strong>partial</strong> refund.</li></ul>","Card Not Present (CNP)","","","Normal","Active","Passed","2026-06-29T19:41:57.103Z","","<p>First complete <code><strong>POST {{URL}}/authenticate</strong></code> and confirm <strong>Payment-Bearer-Token</strong> is set for <code><strong>POST {{URL}}/refund-transaction</strong></code>.</p>
<p>Then build the refund body with <code><strong>originalTransactionId</strong></code> set to the <strong>original sale </strong><code><strong>transactionId</strong></code>, <code><strong>amount</strong></code> set to a <strong>partial</strong> value (less than the original charge but within allowed limits), and <code><strong>orderId</strong></code> (or other required fields) matching your contract.</p>
<p>Next send <code><strong>POST {{URL}}/refund-transaction</strong></code> with Bearer auth and that JSON body.</p>
<p>Finally verify <strong>200 OK</strong>, a new refund <code><strong>transactionId</strong></code> in the response, and <code><strong>wasVoided</strong></code><strong>: </strong><code><strong>false</strong></code>.</p>","","Case (text)","2026-05-18T19:32:08.169Z","Christopher Valenzuela"
